"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",9.93,0.142,253,1.89,1.33,6,0.5,2.25,23.9,25.16,23.64,399.26,377.98,15.721,19.428,51.35,63.15,300.2,1800,96.79,"GR_Bpap_2"
"2",7.16,0.152,200,1.96,1.29,6,0.5,2.25,23.83,25.08,23.65,300.16,284.74,15.801,19.635,51.79,64.11,300.2,1800,96.78,"GR_Bpap_2"
"3",3.97,0.157,145,1.97,1.27,6,0.5,2.25,23.82,25.05,23.65,200.06,191.36,16.004,19.872,52.54,64.92,300.2,1799,96.78,"GR_Bpap_2"
"4",0.757,0.167,88.1,2.04,1.24,6,0.5,2.25,23.81,25.01,23.65,99.72,97.81,16.084,20.078,52.79,65.64,300.2,1799,96.78,"GR_Bpap_2"
"5",-0.955,0.17,59.9,2.04,1.22,6,0.5,2.25,23.81,25,23.65,49.77,51.47,16.278,20.275,53.48,66.28,300.2,1799,96.78,"GR_Bpap_2"
"6",10.3,0.176,271,2.07,1.19,6,0.5,2.25,23.8,24.99,23.65,399.3,377.23,16.442,20.493,54.03,67,300.2,1799,96.78,"GR_Bpap_2"
"7",10.5,0.183,272,2.12,1.18,6,0.5,2.25,23.8,24.98,23.65,399.64,377,16.451,20.598,54,67.35,300.2,1799,96.78,"GR_Bpap_2"
"8",15.3,0.184,413,2.11,1.17,6,0.5,2.25,23.81,24.98,23.65,597.59,564.61,16.645,20.773,54.68,67.9,300.2,1800,96.77,"GR_Bpap_2"
"9",18.5,0.193,582,2.17,1.15,6,0.5,2.25,23.82,25,23.65,799.17,758.94,16.731,20.985,54.88,68.55,300.2,1799,96.78,"GR_Bpap_2"
"10",19.4,0.194,768,2.16,1.14,6,0.5,2.25,23.82,25,23.65,997.91,955.12,16.912,21.13,55.51,69,300.2,1799,96.77,"GR_Bpap_2"
"11",20.3,0.2,958,2.19,1.12,6,0.5,2.25,23.82,24.99,23.65,1198.74,1153.09,16.948,21.238,55.59,69.38,300.2,1799,96.77,"GR_Bpap_2"
"12",20.6,0.202,1250,2.19,1.11,6,0.5,2.25,23.82,24.99,23.65,1499.17,1451.67,17.066,21.352,55.97,69.74,300.2,1799,96.77,"GR_Bpap_2"
"13",21.5,0.21,1740,2.26,1.11,6,0.5,2.25,23.84,25.05,23.65,1999.83,1948.15,17.097,21.517,55.78,70.19,300.2,1800,96.77,"GR_Bpap_2"
