"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",15.01773314,0.338861488,271.8665524,7.507837396,2.405700614,6,0.5,2.25,36.23862839,36.22182465,35.74458694,400.1366577,364.6570129,22.20093918,36.65345001,36.41944122,60.12800217,300.2654419,1799.564087,99.20665741,"Horizontes_Fgol_2"
"2",8.501774739,0.347120625,225.8265102,7.28182571,2.286775627,6,0.5,2.25,36.76176834,35.79498672,37.5561142,300.8564453,279.7972107,22.4227829,36.44292068,35.74110413,58.08869934,300.2732849,1800.299561,99.19804382,"Horizontes_Fgol_2"
"3",4.165213513,0.336928643,159.9046988,7.280455906,2.345158363,6,0.5,2.25,36.92272568,36.00905228,37.5135994,200.0986328,189.0257721,22.54462051,36.56057739,35.6192894,57.76374435,300.2696838,1800.012695,99.19431305,"Horizontes_Fgol_2"
"4",0.544031575,0.313987864,101.5719915,7.008201531,2.400805266,6,0.5,2.25,36.22755051,36.12462616,36.31996918,111.4942017,108.8823853,22.88683319,36.38097763,37.56501389,59.71345139,300.2740784,1799.062134,99.20022583,"Horizontes_Fgol_2"
"5",0.480669776,0.287040418,101.3461496,6.529899707,2.422385662,6,0.5,2.25,36.09278488,36.0269928,36.35457993,110.9324188,108.5554733,23.25809288,35.83869553,38.4585762,59.26131821,300.2658997,1800.219482,99.20188904,"Horizontes_Fgol_2"
"6",9.068488864,0.267831632,303.4748651,6.243859597,2.464011644,6,0.5,2.25,36.07307816,36.01935959,36.35691833,399.9846497,377.1585388,23.36174011,35.39651489,38.66885757,58.589077,300.2722778,1800.675415,99.19430542,"Horizontes_Fgol_2"
"7",9.034575436,0.254779915,298.2134488,7.159261984,2.964026747,6,0.5,2.25,36.08189774,35.85614777,36.35860443,400.5523071,377.1039429,15.93843651,29.81796074,26.36838913,49.33053589,300.2604675,1799.821777,99.19252014,"Horizontes_Fgol_2"
"8",12.14246461,0.228992816,451.8405648,6.482100177,2.953316968,6,0.5,2.25,36.09625626,36.0033226,36.35609055,600.8479614,569.2121582,17.85413742,30.41274452,29.5128994,50.27228165,300.2703247,1801.135986,99.18743134,"Horizontes_Fgol_2"
"9",10.35891273,0.199398305,646.3113726,5.692847538,2.941401068,6,0.5,2.25,35.86414719,36.14053345,36.00196457,800.0221558,770.557251,19.96668434,30.98971939,33.4274292,51.88175583,300.2672729,1801.15979,99.1831665,"Horizontes_Fgol_2"
"10",8.312204771,0.186614156,852.3590248,5.30632474,2.913750977,6,0.5,2.25,35.81813049,36.13912582,36.00297928,1000.091309,973.1634521,20.99288177,31.26442719,35.2338829,52.47336578,300.2717896,1800.905762,99.18120575,"Horizontes_Fgol_2"
"11",5.773704917,0.1746687,1068.901538,4.895528948,2.857540467,6,0.5,2.25,35.56827927,36.08983994,35.69204712,1202.130249,1179.05957,22.1952858,31.66767311,37.76779938,53.88613892,300.2727051,1800.421509,99.17976379,"Horizontes_Fgol_2"
"12",3.483876422,0.171059367,1376.797744,4.722556627,2.810668136,6,0.5,2.25,35.52603912,35.99002457,35.69491959,1499.593018,1478.677368,22.67448997,31.81111526,38.6711235,54.25354767,300.2636108,1800.598877,99.17438507,"Horizontes_Fgol_2"
"13",3.546292256,0.168962854,1849.331351,4.603429574,2.77054962,6,0.5,2.25,35.52877808,35.99180984,35.69155884,1999.000732,1973.759155,23.32182884,32.22385025,39.76629257,54.94522476,300.2749023,1800.782837,99.16728973,"Horizontes_Fgol_2"
