"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",15.4,0.377,287,3.42,1,6,0.5,2.25,25.24,24.84,25.25,400.21,366.85,15.345,22.042,46.31,66.53,299.6,1800,97.33,"KBS_Ecan_1"
"2",10.8,0.349,215,3.27,1.03,6,0.5,2.25,25.16,24.99,25.08,298.88,275.37,15.696,22.103,48,67.04,299.6,1799,97.33,"KBS_Ecan_1"
"3",6.85,0.37,148,3.24,0.964,6,0.5,2.25,24.56,24.71,24.11,199.37,184.46,15.853,22.196,50.22,69.75,299.6,1799,97.33,"KBS_Ecan_1"
"4",2.38,0.365,80.6,3.29,0.991,6,0.5,2.25,24.97,24.94,24.86,99.33,93.95,15.942,22.374,49.28,68.61,299.6,1800,97.34,"KBS_Ecan_1"
"5",0.0573,0.351,48.2,3.23,1.01,6,0.5,2.25,25.37,24.99,25.47,49.76,49.33,15.952,22.286,48.16,66.74,299.6,1800,97.34,"KBS_Ecan_1"
"6",14.9,0.396,292,3.32,0.933,6,0.5,2.25,24.58,24.81,24.1,398.95,366.6,16.216,22.712,51.32,71.29,299.6,1800,97.34,"KBS_Ecan_1"
"7",15.2,0.403,292,3.37,0.933,6,0.5,2.25,24.67,24.92,24.32,398.94,366.11,16.313,22.914,51.34,71.53,299.6,1800,97.34,"KBS_Ecan_1"
"8",21.7,0.404,446,3.37,0.933,6,0.5,2.25,24.34,24.87,23.72,599.73,552.64,16.226,22.829,51.9,72.68,299.6,1801,97.35,"KBS_Ecan_1"
"9",25.9,0.406,616,3.31,0.91,6,0.5,2.25,24.34,24.78,23.91,800.9,744.2,16.427,22.895,52.38,72.91,299.6,1799,97.35,"KBS_Ecan_1"
"10",26.3,0.349,789,3.04,0.954,6,0.5,2.25,24.91,24.96,24.7,998.05,939.56,16.822,22.781,52.16,70.13,299.6,1801,97.35,"KBS_Ecan_1"
"11",28.2,0.327,964,2.92,0.97,6,0.5,2.25,24.55,24.89,24.09,1199.5,1136.27,16.759,22.484,52.7,70.72,299.6,1800,97.36,"KBS_Ecan_1"
"12",28.5,0.277,1230,2.58,0.988,6,0.5,2.25,24.19,24.77,23.51,1499.95,1435.5,17.014,22.058,54.66,70.87,299.6,1800,97.35,"KBS_Ecan_1"
"13",28.3,0.227,1680,2.34,1.07,6,0.5,2.25,24.43,25.1,23.91,1998.19,1932.5,17.254,21.837,54.9,69.19,299.6,1799,97.36,"KBS_Ecan_1"
