"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",3.60194865,0.052633028,270.524282,0.958437431,1.836567582,6,0.5,2.25,23.11196136,25.25132751,23.12017059,400.0090027,392.0594482,11.90302372,13.79206562,42.28905869,49.00045013,300.2215881,1798.823364,100.8599548,"LaSelva_Amem_1"
"2",2.170405396,0.041693981,203.305467,0.754705481,1.817523286,6,0.5,2.25,22.93047523,24.99912643,23.12159348,300.0326233,295.2500305,12.01677799,13.50460052,43.16200256,48.50597763,300.2428589,1798.687866,100.8536835,"LaSelva_Amem_1"
"3",1.020765755,0.033722656,143.4775786,0.611372892,1.814417229,6,0.5,2.25,22.97306633,24.88363457,23.32002449,199.8208466,197.5396423,12.11347675,13.3189497,43.39735031,47.71604156,300.2456665,1798.91626,100.8538818,"LaSelva_Amem_1"
"4",-0.002391898,0.03059785,96.96678446,0.554831964,1.812449309,6,0.5,2.25,23.25742149,24.86045647,23.84934044,99.83259583,99.72679901,12.20046043,13.29451752,42.9659462,46.81885147,300.2342834,1798.920898,100.8589478,"LaSelva_Amem_1"
"5",-0.452464069,0.031526785,61.41333612,0.56826732,1.802091609,6,0.5,2.25,23.31563568,24.90012932,23.82603073,38.79073334,39.64986801,12.35142517,13.47169685,43.34371185,47.27497482,300.2549133,1798.797974,100.8560944,"LaSelva_Amem_1"
"6",3.948901455,0.039951308,222.2428737,0.695214972,1.746210107,6,0.5,2.25,23.64230537,24.77729797,24.48402405,399.904541,391.4694214,12.42593288,13.79604435,42.75696182,47.47144318,300.2487488,1799.020142,100.8618164,"LaSelva_Amem_1"
"7",3.984047786,0.042352747,229.7966543,0.737494833,1.74895396,6,0.5,2.25,23.79076385,24.85194206,24.49022675,400.0650635,391.5265198,12.45472527,13.90800095,42.4740715,47.43014908,300.2476807,1798.965942,100.8602448,"LaSelva_Amem_1"
"8",5.779503455,0.046213766,370.4099978,0.801318047,1.744132833,6,0.5,2.25,23.8457489,24.92436028,24.49038124,600.0369873,587.5474243,12.51294708,14.09160042,42.53027725,47.89596176,300.2658691,1798.982666,100.8568192,"LaSelva_Amem_1"
"9",6.856645212,0.043273674,508.9246003,0.759716566,1.763627246,6,0.5,2.25,23.86159706,25.00510597,24.49008369,799.984375,785.0905762,12.55252552,14.04936695,42.62548065,47.70840836,300.2494507,1798.92981,100.8599472,"LaSelva_Amem_1"
"10",7.134286905,0.035336414,633.6021233,0.634429089,1.797616867,6,0.5,2.25,23.86444664,25.06507492,24.49005318,1000.038818,984.5341187,12.57382774,13.8240881,42.69421005,46.9394455,300.2536316,1798.851563,100.8687057,"LaSelva_Amem_1"
"11",7.317985156,0.028019823,733.2483108,0.514769375,1.833711935,6,0.5,2.25,23.86851311,25.13614082,24.48978424,1199.900513,1184.058594,12.58519363,13.59989262,42.72428131,46.16898727,300.2478027,1798.78894,100.8732605,"LaSelva_Amem_1"
"12",8.096120124,0.022933553,877.5125653,0.425577973,1.848389027,6,0.5,2.25,23.40230179,25.12407684,23.67463875,1500.066406,1482.625854,12.59158897,13.43065739,43.96639633,46.89619827,300.2345276,1799.803101,100.8800888,"LaSelva_Amem_1"
"13",9.335140796,0.02218575,1253.431964,0.406357711,1.82414511,6,0.5,2.25,23.2642231,24.97761154,23.70824051,2000.395752,1980.132324,12.59343338,13.39462471,44.34225082,47.16329575,300.2389221,1799.776245,100.8830643,"LaSelva_Amem_1"
