"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",3.850772925,0.635872274,368.0620972,6.186136638,1.227888687,6,0.5,2.25,25.14289093,24.78739738,25.74351311,399.8838196,387.3986511,6.812092781,18.94091225,21.439785,59.61297226,300.2253723,1800.009888,100.9301147,"LaSelva_Cela_9"
"2",2.91293849,0.436636396,272.7878074,5.026117781,1.353075348,6,0.5,2.25,25.46755409,24.93928719,26.07683182,300.0402832,291.2932129,8.11948967,17.98311234,25.06682014,55.51819992,300.2385254,1800.745239,100.9342041,"LaSelva_Cela_9"
"3",1.543504494,0.372669298,183.0677311,4.641904772,1.429730043,6,0.5,2.25,25.47107506,24.97432518,26.07629967,199.828125,194.9352264,8.173286438,17.28940773,25.2274971,53.36512756,300.2361755,1801.292725,100.9336853,"LaSelva_Cela_9"
"4",-0.060754632,0.323780134,97.18278497,4.30384361,1.497728169,6,0.5,2.25,25.45919228,25.00583839,26.07577133,99.92284393,99.1911087,8.217443466,16.67510605,25.38134575,51.50466156,300.2302246,1800.425293,100.9322739,"LaSelva_Cela_9"
"5",-0.619390318,0.23686666,65.32955875,3.58559896,1.649002998,6,0.5,2.25,25.22319984,25.09684944,25.75948524,61.66530228,62.45550919,8.292817116,15.34776688,25.97607613,48.07470703,300.2630615,1800.94458,100.9319916,"LaSelva_Cela_9"
"6",5.747769129,0.193517505,325.3894904,3.120595345,1.726883143,6,0.5,2.25,25.18950653,25.04401207,25.76224899,400.1639404,386.2685852,8.330452919,14.47644615,26.14654732,45.4367981,300.2366028,1801.171997,100.9327393,"LaSelva_Cela_9"
"7",5.900979927,0.165563456,316.1011169,2.605235479,1.665186286,6,0.5,2.25,25.19146729,25.08183479,25.76213074,399.9203186,386.1178589,10.03174591,15.15901279,31.48260689,47.57350159,300.2468262,1800.86438,100.9325485,"LaSelva_Cela_9"
"8",8.009607366,0.147519151,475.0629905,2.412442036,1.717746289,6,0.5,2.25,25.12201881,25.1825161,25.55349159,600.2196655,581.4100342,10.07922935,14.82882404,31.76238823,46.7296524,300.2363586,1800.666138,100.9315186,"LaSelva_Cela_9"
"9",9.600008784,0.127042485,630.9018905,2.145988517,1.759619797,6,0.5,2.25,24.93756294,25.13471794,25.40862846,800.1261597,777.605896,10.09673023,14.32399654,32.16802597,45.63603592,300.2294006,1800.443481,100.9275589,"LaSelva_Cela_9"
"10",10.38739935,0.108363813,790.0303082,1.889623287,1.80264897,6,0.5,2.25,24.91147995,25.09517097,25.40930939,999.8112183,975.3691406,10.09949207,13.82361889,32.22533417,44.10823059,300.2317505,1800.935669,100.922554,"LaSelva_Cela_9"
"11",11.00445147,0.094729092,950.0801695,1.692205402,1.836361143,6,0.5,2.25,24.89537621,25.06655121,25.41010094,1200.06311,1174.099609,10.09946156,13.43595314,32.25534821,42.91133499,300.2199707,1801.081299,100.9198532,"LaSelva_Cela_9"
"12",11.92263862,0.08325659,1195.234228,1.518240947,1.865774453,6,0.5,2.25,24.66503906,25.04408646,25.05067062,1500.05188,1471.759766,10.10796547,13.10231972,32.72928238,42.4249115,300.2347107,1800.942017,100.9187851,"LaSelva_Cela_9"
"13",12.9920144,0.075837517,1632.106531,1.393359193,1.874263463,6,0.5,2.25,24.62301826,24.96329117,25.05452728,2000.015259,1968.570801,10.11742592,12.86606789,32.84317017,41.76580811,300.2425537,1800.817871,100.9214249,"LaSelva_Cela_9"
