"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",8.11,0.117,261,1.3,1.11,6,0.5,2.25,23.73,24.62,23.34,399.51,382.34,17.9,20.44,59.57,67.82,300.5,1799,97.77,"MMSF_Qalb_5"
"2",6.54,0.141,203,1.47,1.05,6,0.5,2.25,23.68,24.45,23.33,299.7,285.81,17.819,20.687,59.3,68.85,300.5,1799,97.77,"MMSF_Qalb_5"
"3",4.1,0.142,139,1.58,1.13,6,0.5,2.25,23.96,25,23.72,199.5,190.7,17.901,20.997,58.72,68.69,300.5,1799,97.77,"MMSF_Qalb_5"
"4",1.38,0.173,81.6,1.76,1.05,6,0.5,2.25,23.28,24.73,23,99.89,96.79,17.859,21.308,60.9,72.65,300.5,1799,97.77,"MMSF_Qalb_5"
"5",-0.227,0.184,51.2,1.85,1.03,6,0.5,2.25,23.78,24.83,23.52,49.67,49.94,18.014,21.62,59.83,71.51,300.5,1799,97.77,"MMSF_Qalb_5"
"6",10.1,0.195,283,1.95,1.04,6,0.5,2.25,24.09,24.95,23.92,399.2,377.54,18.03,21.846,58.79,70.92,300.5,1799,97.76,"MMSF_Qalb_5"
"7",9.79,0.163,272,1.72,1.08,6,0.5,2.25,23.45,24.87,22.93,400.22,379.36,17.893,21.258,60.36,71.72,300.5,1799,97.76,"MMSF_Qalb_5"
"8",10,0.0865,378,1.05,1.2,6,0.5,2.25,23.67,24.86,23.53,600.51,579.31,17.902,19.959,59.63,66.5,300.5,1799,97.76,"MMSF_Qalb_5"
"9",8.99,0.0464,453,0.617,1.29,6,0.5,2.25,23.39,24.9,22.95,800.44,781.53,17.918,19.126,60.66,64.75,300.5,1799,97.76,"MMSF_Qalb_5"
"10",11.3,0.0425,527,0.563,1.29,6,0.5,2.25,23.36,24.83,22.94,1000.29,976.6,17.933,19.037,60.83,64.57,300.5,1799,97.75,"MMSF_Qalb_5"
"11",13.1,0.0405,628,0.542,1.3,6,0.5,2.25,23.34,24.89,22.93,1198.41,1171.08,17.978,19.041,61.11,64.65,300.5,1799,97.75,"MMSF_Qalb_5"
"12",12,0.0314,831,0.428,1.32,6,0.5,2.25,23.95,24.84,23.49,1500.15,1474.92,17.926,18.764,58.63,61.38,300.5,1799,97.74,"MMSF_Qalb_5"
"13",13.8,0.0264,1090,0.356,1.3,6,0.5,2.25,23.25,24.69,23.21,2000.97,1972.05,17.939,18.636,61.29,63.67,300.5,1799,97.73,"MMSF_Qalb_5"
