"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",0.407,0.0142,345,0.197,1.33,6,0.5,2.25,23.05,25.28,22.55,400.2,399.23,19.056,19.441,65.84,67.18,300.5,1799,97.75,"MMSF_Uame_2"
"2",0.174,0.0108,268,0.147,1.3,6,0.5,2.25,22.57,25.02,21.95,300.53,300.09,18.979,19.266,67.56,68.56,300.5,1799,97.75,"MMSF_Uame_2"
"3",0.00438,0.0101,195,0.137,1.3,6,0.5,2.25,22.37,24.99,21.77,199.61,199.55,18.982,19.251,68.4,69.34,300.5,1800,97.75,"MMSF_Uame_2"
"4",-0.212,0.00977,132,0.13,1.28,6,0.5,2.25,22.24,24.9,21.56,99.12,99.52,19.035,19.29,69.13,70.03,300.5,1799,97.75,"MMSF_Uame_2"
"5",-0.254,0.0101,89.1,0.133,1.25,6,0.5,2.25,22.09,24.8,21.37,49.77,50.26,19.065,19.325,69.84,70.78,300.5,1799,97.76,"MMSF_Uame_2"
"6",0.686,0.0132,309,0.169,1.23,6,0.5,2.25,22.69,24.74,22.36,401.07,399.57,19.115,19.447,67.55,68.69,300.5,1800,97.75,"MMSF_Uame_2"
"7",0.623,0.0133,315,0.178,1.28,6,0.5,2.25,22.89,25.04,22.55,399.58,398.2,19.16,19.508,66.9,68.09,300.5,1800,97.75,"MMSF_Uame_2"
"8",1.08,0.0113,433,0.149,1.26,6,0.5,2.25,22.56,24.97,21.96,600.25,597.92,19.271,19.562,68.65,69.66,300.5,1799,97.74,"MMSF_Uame_2"
"9",1.57,0.0108,550,0.141,1.25,6,0.5,2.25,22.38,24.94,21.76,800.39,797.04,19.375,19.651,69.76,70.72,300.5,1801,97.72,"MMSF_Uame_2"
"10",2.16,0.0114,673,0.146,1.22,6,0.5,2.25,22.35,24.83,21.75,999.36,994.75,19.399,19.685,69.95,70.96,300.5,1799,97.72,"MMSF_Uame_2"
"11",2.39,0.0128,872,0.165,1.24,6,0.5,2.25,22.61,24.93,22.16,1199.97,1194.8,19.415,19.738,68.91,70.03,300.5,1800,97.73,"MMSF_Uame_2"
"12",3.05,0.0126,1080,0.165,1.26,6,0.5,2.25,22.53,25.05,21.96,1499.94,1493.36,19.435,19.758,69.31,70.47,300.5,1800,97.74,"MMSF_Uame_2"
"13",3.62,0.0107,1420,0.136,1.21,6,0.5,2.25,22.24,24.8,21.57,1998.71,1990.95,19.453,19.72,70.65,71.6,300.5,1801,97.74,"MMSF_Uame_2"
