"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",10.3,0.13,238,1.54,1.21,6,0.5,2.25,23.82,24.75,23.57,399.16,377.33,16.313,19.335,54.85,64.82,299.6,1800,99.35,"UMBS_Bpap_5"
"2",7.72,0.129,178,1.54,1.23,6,0.5,2.25,23.23,24.82,23.16,299.72,283.39,16.28,19.311,56.6,67.13,299.6,1800,99.35,"UMBS_Bpap_5"
"3",4.54,0.124,126,1.49,1.23,6,0.5,2.25,23.09,24.81,22.54,199.92,190.26,16.381,19.306,57.58,67.67,299.6,1800,99.35,"UMBS_Bpap_5"
"4",1.39,0.128,77.7,1.58,1.26,6,0.5,2.25,24.21,25.08,24.52,100.78,97.69,16.4,19.499,53.9,63.89,299.6,1800,99.35,"UMBS_Bpap_5"
"5",-0.264,0.129,52.3,1.59,1.25,6,0.5,2.25,24.06,25.11,23.91,49.57,49.94,16.466,19.581,54.59,64.72,299.6,1799,99.35,"UMBS_Bpap_5"
"6",10.7,0.129,232,1.56,1.23,6,0.5,2.25,23.38,24.99,22.94,399.69,377.06,16.556,19.611,57.17,67.52,299.6,1801,99.35,"UMBS_Bpap_5"
"7",10.7,0.132,235,1.57,1.22,6,0.5,2.25,23.47,24.93,23.14,399.7,377.04,16.561,19.639,56.88,67.26,299.6,1801,99.35,"UMBS_Bpap_5"
"8",16.8,0.14,354,1.58,1.16,6,0.5,2.25,23.05,24.6,22.68,600.24,564.82,16.496,19.594,57.95,68.83,299.6,1799,99.35,"UMBS_Bpap_5"
"9",21.2,0.137,483,1.61,1.21,6,0.5,2.25,23.98,24.91,24.14,799.46,754.63,16.545,19.712,55.12,65.47,299.6,1800,99.35,"UMBS_Bpap_5"
"10",24.4,0.139,636,1.65,1.22,6,0.5,2.25,24.06,25.02,23.92,999.68,947.68,16.558,19.792,54.89,65.41,299.6,1799,99.35,"UMBS_Bpap_5"
"11",26.6,0.138,799,1.64,1.22,6,0.5,2.25,23.69,25.08,23.13,1199.48,1142.45,16.67,19.886,56.52,67.21,299.6,1800,99.34,"UMBS_Bpap_5"
"12",28.2,0.146,1090,1.69,1.19,6,0.5,2.25,23.49,24.96,22.97,1500.07,1438.65,16.656,19.966,56.97,68.29,299.6,1800,99.34,"UMBS_Bpap_5"
"13",28.8,0.149,1580,1.67,1.15,6,0.5,2.25,23.09,24.77,22.55,2000.55,1936.31,16.672,19.946,58.43,69.9,299.6,1800,99.34,"UMBS_Bpap_5"
