"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",11.6,0.208,273,2.38,1.19,6,0.5,2.25,24.83,25.02,24.47,400.02,375.07,15.593,20.257,48.63,63.19,299.6,1800,98.3,"UMBS_Fgra_3"
"2",8.6,0.206,204,2.32,1.18,6,0.5,2.25,23.87,25,23.52,299.07,280.54,15.803,20.353,52.5,67.3,299.6,1801,98.3,"UMBS_Fgra_3"
"3",5.28,0.22,143,2.39,1.14,6,0.5,2.25,23.96,24.93,23.74,199.22,187.74,15.938,20.623,52.76,67.86,299.6,1800,98.3,"UMBS_Fgra_3"
"4",1.76,0.233,81.2,2.49,1.13,6,0.5,2.25,23.84,24.97,23.52,99.93,95.94,15.939,20.824,53.14,68.99,299.6,1800,98.3,"UMBS_Fgra_3"
"5",-0.124,0.26,49.8,2.62,1.07,6,0.5,2.25,23.85,24.82,23.52,49.86,49.85,15.926,21.066,53.08,69.75,299.6,1800,98.3,"UMBS_Fgra_3"
"6",12,0.272,289,2.67,1.05,6,0.5,2.25,23.51,24.75,22.92,398.88,372.77,15.924,21.16,54.2,71.54,299.6,1800,98.3,"UMBS_Fgra_3"
"7",12.6,0.287,289,2.8,1.05,6,0.5,2.25,23.43,24.78,22.94,400.02,372.75,15.724,21.21,53.41,72.05,299.6,1800,98.3,"UMBS_Fgra_3"
"8",16.9,0.271,443,2.7,1.07,6,0.5,2.25,23.98,24.9,23.9,598.42,561.63,15.989,21.284,52.9,69.95,299.6,1800,98.3,"UMBS_Fgra_3"
"9",20,0.261,609,2.67,1.09,6,0.5,2.25,23.99,24.93,23.71,799.88,755.83,15.903,21.128,52.43,69.39,299.6,1799,98.3,"UMBS_Fgra_3"
"10",21.6,0.23,773,2.51,1.15,6,0.5,2.25,23.67,25.07,23.13,1000.95,952.88,15.853,20.776,53.07,69.55,299.6,1799,98.31,"UMBS_Fgra_3"
"11",22.1,0.204,943,2.26,1.16,6,0.5,2.25,23.09,24.86,22.33,1199.79,1150.38,15.864,20.294,55.01,70.38,299.6,1800,98.31,"UMBS_Fgra_3"
"12",22.1,0.178,1220,1.97,1.14,6,0.5,2.25,23.28,24.48,22.08,1501.33,1451.44,15.871,19.741,54.35,67.62,299.6,1800,98.31,"UMBS_Fgra_3"
"13",23.4,0.12,1590,1.46,1.23,6,0.5,2.25,22.53,24.46,21.77,1999.68,1947.08,15.971,18.841,57.28,67.58,299.6,1801,98.31,"UMBS_Fgra_3"
