"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",2.39,0.0217,210,0.333,1.51,6,0.5,2.25,22.34,25.13,21.5,399.73,394.68,16.297,16.951,60.22,62.57,300.2,1799,100,"Auburn_Iopa_5"
"2",1.67,0.0239,178,0.354,1.46,6,0.5,2.25,22.2,24.92,21.5,300.1,296.55,16.367,17.062,61.01,63.54,300.2,1799,100,"Auburn_Iopa_5"
"3",0.73,0.0265,151,0.386,1.44,6,0.5,2.25,22.38,24.89,21.9,201.08,199.47,16.469,17.226,60.73,63.45,300.2,1799,100,"Auburn_Iopa_5"
"4",-0.0818,0.0305,102,0.44,1.43,6,0.5,2.25,22.43,24.95,21.89,99.53,99.61,16.545,17.409,60.82,63.92,300.2,1800,100,"Auburn_Iopa_5"
"5",-0.52,0.036,73.3,0.513,1.41,6,0.5,2.25,22.44,24.97,21.89,50.3,51.29,16.611,17.618,61.02,64.65,300.2,1800,100,"Auburn_Iopa_5"
"6",3.39,0.0453,264,0.628,1.38,6,0.5,2.25,22.45,24.97,21.89,400.58,393.31,16.721,17.955,61.41,65.84,300.2,1799,100,"Auburn_Iopa_5"
"7",3.47,0.0493,270,0.677,1.37,6,0.5,2.25,22.46,24.98,21.89,399.82,392.35,16.746,18.074,61.47,66.26,300.2,1799,100,"Auburn_Iopa_5"
"8",5.31,0.0483,398,0.662,1.37,6,0.5,2.25,22.46,25,21.89,599.48,588.1,16.842,18.142,61.82,66.48,300.2,1799,100,"Auburn_Iopa_5"
"9",6.46,0.0444,535,0.614,1.38,6,0.5,2.25,22.47,25.04,21.89,800.3,786.41,16.894,18.099,61.93,66.3,300.2,1799,100,"Auburn_Iopa_5"
"10",7.19,0.0396,670,0.555,1.39,6,0.5,2.25,22.48,25.09,21.89,999.42,983.96,16.97,18.06,62.2,66.12,300.2,1800,100,"Auburn_Iopa_5"
"11",7.58,0.0357,817,0.502,1.39,6,0.5,2.25,22.48,25.09,21.89,1200.37,1184.03,17.049,18.034,62.48,66.01,300.2,1800,100,"Auburn_Iopa_5"
"12",8.12,0.0318,1040,0.453,1.41,6,0.5,2.25,22.51,25.18,21.89,1499.23,1481.66,17.161,18.05,62.81,65.98,300.2,1799,100,"Auburn_Iopa_5"
"13",9.38,0.0309,1450,0.433,1.39,6,0.5,2.25,22.23,25.07,21.5,1999.97,1979.51,17.182,18.033,63.87,67.02,300.2,1799,100,"Auburn_Iopa_5"
