"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,4.44633730834753,0.0475298126064736,226,1.12436115843271,2.38,5.87,0.5,2.25,23.77,25.19,22.32,399.93,390.36,6.176,8.365,20.95,28.37,299.6,1800,100.2,"BNZ_Pgla_2"
"2",2,3.21976149914821,0.0465076660988075,171,1.09369676320273,2.37,5.87,0.5,2.25,23.59,25.11,22.13,299.97,293.03,6.206,8.34,21.4,28.61,299.6,1799,100.2,"BNZ_Pgla_2"
"3",3,1.90119250425894,0.0458943781942078,122,1.08347529812606,2.36,5.87,0.5,2.25,23.56,25.06,22.13,199.74,195.6,6.216,8.315,21.51,28.57,299.6,1800,100.2,"BNZ_Pgla_2"
"4",4,0.4793867120954,0.0464054514480409,78.5,1.09369676320273,2.35,5.87,0.5,2.25,23.54,25.03,22.13,99.84,98.69,6.187,8.304,21.44,28.57,299.6,1800,100.2,"BNZ_Pgla_2"
"5",5,-0.157410562180579,0.0473253833049404,53.6,1.10391822827939,2.35,5.87,0.5,2.25,23.51,24.99,22.13,49.98,50.18,6.147,8.298,21.33,28.59,299.6,1800,100.2,"BNZ_Pgla_2"
"6",6,4.87563884156729,0.0496763202725724,219,1.15502555366269,2.34,5.87,0.5,2.25,23.49,24.94,22.14,400.87,390.43,6.041,8.291,20.93,28.6,299.6,1800,100.2,"BNZ_Pgla_2"
"7",7,4.81431005110732,0.0503918228279387,223,1.17546848381601,2.34,5.87,0.5,2.25,23.49,24.93,22.14,400.33,390,5.993,8.276,20.68,28.55,299.6,1800,100.2,"BNZ_Pgla_2"
"8",8,7.11413969335605,0.0485519591141397,328,1.13458262350937,2.34,5.87,0.5,2.25,23.49,24.92,22.13,599.28,584.05,5.993,8.199,20.8,28.29,299.6,1800,100.2,"BNZ_Pgla_2"
"9",9,8.75979557069847,0.0456899488926746,445,1.0732538330494,2.35,5.87,0.5,2.25,23.47,24.91,22.14,798.82,780.02,5.976,8.062,20.79,27.85,299.6,1800,100.2,"BNZ_Pgla_2"
"10",10,10.4258943781942,0.0446678023850085,569,1.05281090289608,2.36,5.87,0.5,2.25,23.43,24.84,22.14,1000.57,978.11,5.842,7.889,20.22,27.31,299.6,1799,100.2,"BNZ_Pgla_2"
"11",11,11.2436115843271,0.0398637137989779,682,0.954684838160136,2.4,5.87,0.5,2.25,23.67,24.93,22.53,1199.86,1175.66,5.837,7.694,20.01,26.25,299.6,1799,100.2,"BNZ_Pgla_2"
"12",12,12.3679727427598,0.0352640545144804,857,0.854514480408858,2.42,5.87,0.5,2.25,23.69,24.95,22.53,1498.92,1472.24,5.824,7.486,19.97,25.52,299.6,1800,100.2,"BNZ_Pgla_2"
"13",13,13.6967632027257,0.0314821124361158,1200,0.771720613287905,2.44,5.87,0.5,2.25,23.67,24.91,22.54,2000.1,1970.27,5.728,7.228,19.55,24.67,299.6,1799,100.2,"BNZ_Pgla_2"
