"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,6.15974729241877,0.0963898916967509,278,1.17238267148014,1.21,4.432,0.5,2.25,25.07,25.04,25.49,399.54,389.76,18.187,19.886,56.64,61.83,299.6,1799,99.27,"BNZ_Pmar_7"
"2",2,4.27797833935018,0.0889440433212996,209,1.11552346570397,1.25,4.432,0.5,2.25,24.51,25.18,24.3,300.19,293.37,18.189,19.807,58.54,63.66,299.6,1800,99.26,"BNZ_Pmar_7"
"3",3,2.39620938628159,0.088673285198556,148,1.09657039711191,1.23,4.432,0.5,2.25,24.33,25.06,24.11,199.49,195.62,18.153,19.744,59.11,64.17,299.6,1799,99.26,"BNZ_Pmar_7"
"4",4,0.725631768953069,0.090297833935018,83.1,1.11146209386282,1.22,4.432,0.5,2.25,24.29,24.99,24.11,99.32,98.09,18.07,19.681,58.94,64.1,299.6,1800,99.26,"BNZ_Pmar_7"
"5",5,-0.414259927797834,0.0911101083032491,56.4,1.12093862815884,1.23,4.432,0.5,2.25,24.29,24.99,24.11,49.49,50.02,18.024,19.65,58.78,63.99,299.6,1799,99.26,"BNZ_Pmar_7"
"6",6,6.9043321299639,0.0917870036101083,259,1.1398916967509,1.24,4.432,0.5,2.25,24.32,25.04,24.11,400.37,389.5,17.986,19.639,58.57,63.86,299.6,1799,99.25,"BNZ_Pmar_7"
"7",7,7.06678700361011,0.0919223826714801,256,1.14395306859206,1.24,4.432,0.5,2.25,24.32,25.05,24.11,399.46,388.36,17.971,19.63,58.52,63.83,299.6,1801,99.25,"BNZ_Pmar_7"
"8",8,10.5189530685921,0.0901624548736462,382,1.12229241877256,1.24,4.432,0.5,2.25,24.31,25.01,24.11,599.82,583.28,17.938,19.566,58.47,63.66,299.6,1801,99.25,"BNZ_Pmar_7"
"9",9,13.5379061371841,0.0905685920577617,519,1.13583032490975,1.25,4.432,0.5,2.25,24.33,25.04,24.11,799.67,778.24,17.898,19.545,58.27,63.51,299.6,1800,99.25,"BNZ_Pmar_7"
"10",10,16.1101083032491,0.0907039711191336,665,1.13718411552347,1.25,4.432,0.5,2.25,24.33,25.04,24.11,999.32,973.85,17.885,19.534,58.22,63.47,299.6,1800,99.25,"BNZ_Pmar_7"
"11",11,18.0054151624549,0.0907039711191336,824,1.14801444043321,1.26,4.432,0.5,2.25,24.35,25.1,24.11,1198.68,1170.09,17.876,19.54,58.12,63.4,299.6,1799,99.24,"BNZ_Pmar_7"
"12",12,19.9007220216606,0.0900270758122744,1080,1.14530685920578,1.27,4.432,0.5,2.25,24.37,25.14,24.11,1499.52,1467.62,17.887,19.549,58.09,63.36,299.6,1799,99.24,"BNZ_Pmar_7"
"13",13,21.6606498194946,0.0892148014440433,1530,1.13312274368231,1.26,4.432,0.5,2.25,24.26,25.13,23.92,1998.63,1963.24,17.914,19.558,58.55,63.8,299.6,1801,99.24,"BNZ_Pmar_7"
