"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",21.4,0.206,166,3.01,1.54,6,0.5,2.25,24.01,25.32,23.31,396.65,351.73,11.351,17.277,37.77,56.89,299.6,1799,98.66,"Fermi_Pvir_1"
"2",17.6,0.21,112,2.94,1.48,6,0.5,2.25,23.34,25.04,22.54,297.81,261.05,11.535,17.327,39.94,59.41,299.6,1799,98.66,"Fermi_Pvir_1"
"3",12.5,0.223,73,2.95,1.4,6,0.5,2.25,23.23,24.72,22.54,198.91,172.88,11.743,17.545,40.93,60.55,299.6,1799,98.66,"Fermi_Pvir_1"
"4",6.72,0.242,35.6,3.09,1.36,6,0.5,2.25,22.96,24.71,22.25,99.54,85.55,11.774,17.861,41.31,62.67,299.6,1800,98.67,"Fermi_Pvir_1"
"5",3.49,0.262,18.4,3.17,1.3,6,0.5,2.25,23.45,24.58,22.92,49.8,42.54,12.028,18.26,40.97,62.2,299.6,1801,98.67,"Fermi_Pvir_1"
"6",-0.136,0.25,-0.497,3.19,1.37,6,0.5,2.25,23.89,25.14,23.51,-1.76,-1.48,12.372,18.644,41.37,61.85,299.6,1799,98.68,"Fermi_Pvir_1"
"7",22.7,0.247,186,2.98,1.29,6,0.5,2.25,22.74,24.84,22.26,399.62,352.05,13.027,18.886,46.35,67.18,299.6,1799,98.69,"Fermi_Pvir_1"
"8",22,0.237,184,2.88,1.29,6,0.5,2.25,23.13,24.93,22.35,397.67,351.61,13.363,19.013,46.79,66.01,299.6,1799,98.69,"Fermi_Pvir_1"
"9",24.6,0.23,351,2.8,1.29,6,0.5,2.25,23.28,24.96,22.54,598.25,546,13.596,19.089,47.16,65.68,299.6,1800,98.68,"Fermi_Pvir_1"
"10",26.4,0.217,519,2.77,1.34,6,0.5,2.25,23.86,25.23,23.54,799.54,742.64,13.619,19.061,45.25,63.32,299.6,1799,98.66,"Fermi_Pvir_1"
