"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,2.47125235208028,0.0168722559063349,136,0.297616558645202,1.69,19.132,0.5,7.2,25.04,25.29,24.66,399.3,378.69,15.84,18.171,48.44,55.57,399.8,1800,97.49,"GR_Llar_2"
"2",2,2.01024461634957,0.0184403094292285,102,0.306711269077985,1.59,19.132,0.5,7.2,24.1,24.96,23.65,299.88,283.15,15.986,18.387,51.74,59.51,399.8,1800,97.49,"GR_Llar_2"
"3",3,1.51160359606941,0.024430273886682,83.9,0.382605059586034,1.5,19.132,0.5,7.2,24.06,24.9,23.65,199.85,187.22,16.1,19.09,52.22,61.92,399.8,1800,97.49,"GR_Llar_2"
"4",4,0.567635375287476,0.0326155132761865,64.9,0.473552163913862,1.4,19.132,0.5,7.2,24.07,24.92,23.65,100,95.12,16.298,19.999,53.04,64.84,399.8,1800,97.5,"GR_Llar_2"
"5",5,-0.0523729876646456,0.0413966130043905,51.1,0.567635375287476,1.32,19.132,0.5,7.2,24.08,25,23.65,49.95,50.14,16.411,20.856,53.41,67.57,399.8,1800,97.5,"GR_Llar_2"
"6",6,5.70771482333264,0.0514321555509095,167,0.661718586661091,1.25,19.132,0.5,7.2,24.24,25.05,23.84,400.35,353.06,16.431,21.605,52.72,69.31,399.8,1800,97.5,"GR_Llar_2"
"7",7,5.45682625966966,0.0495504913234372,169,0.639765837340581,1.25,19.132,0.5,7.2,24.25,25.06,23.84,398.57,353.35,16.685,21.673,53.85,69.51,399.8,1800,97.5,"GR_Llar_2"
"8",8,8.87518293957767,0.0558227054150115,258,0.69621576416475,1.21,19.132,0.5,7.2,24.27,25.12,23.84,598.96,525.38,16.678,22.103,53.64,70.81,399.8,1800,97.49,"GR_Llar_2"
"9",9,11.6976792807861,0.060840476688271,378,0.733849048714196,1.17,19.132,0.5,7.2,24.26,25.15,23.74,800.02,702.71,16.749,22.478,53.67,72.03,399.8,1800,97.5,"GR_Llar_2"
"10",10,13.2657328036797,0.0646038051432156,538,0.743257369851558,1.12,19.132,0.5,7.2,23.97,24.99,23.45,999.86,888.68,16.836,22.636,54.91,73.81,399.8,1800,97.5,"GR_Llar_2"
"11",11,14.2692870583316,0.067426301484424,716,0.762074012126281,1.1,19.132,0.5,7.2,23.97,24.99,23.45,1199.95,1079.59,16.924,22.853,55.2,74.54,399.8,1800,97.49,"GR_Llar_2"
"12",12,14.6456199038261,0.069621576416475,1010,0.774618440309429,1.09,19.132,0.5,7.2,23.99,25.04,23.45,1500.77,1375.37,17.042,23.079,55.51,75.18,399.8,1800,97.49,"GR_Llar_2"
"13",13,14.5828977629103,0.0708760192347899,1510,0.768346226217855,1.06,19.132,0.5,7.2,23.69,24.9,23.06,2000.53,1872.86,17.133,23.112,56.81,76.63,399.8,1800,97.49,"GR_Llar_2"
