"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,4.76695826760361,0.0585114011186003,187,0.545532769252832,0.925,34.865,0.5,7.2,23.09,25.08,21.87,399.06,327.14,16.676,24.421,57.65,83.95,399.8,1800,97.48,"Guelph_Abal_3"
"2",2,3.54510253836225,0.0586834934748315,143,0.531765380754338,0.896,34.865,0.5,7.2,23.01,24.86,22.08,299.59,246.27,16.81,24.339,58.4,84.11,399.8,1800,97.5,"Guelph_Abal_3"
"3",3,2.18557292413595,0.0586834934748315,102,0.530044457192026,0.894,34.865,0.5,7.2,23.03,24.89,22.08,199.36,166.36,16.897,24.405,58.65,84.26,399.8,1800,97.5,"Guelph_Abal_3"
"4",4,0.703857736985515,0.0593718628997562,66.9,0.531765380754338,0.889,34.865,0.5,7.2,23.02,24.89,22.08,98.71,87.8,16.907,24.453,58.7,84.44,399.8,1800,97.51,"Guelph_Abal_3"
"5",5,-0.0215115445288972,0.059199770543525,48.7,0.535207227878962,0.896,34.865,0.5,7.2,23.01,24.91,22.08,48.89,48.83,16.822,24.412,58.45,84.36,399.8,1800,97.51,"Guelph_Abal_3"
"6",6,4.80137673884985,0.0605765093933744,191,0.548974616377456,0.9,34.865,0.5,7.2,23.28,24.93,22.47,398.97,326.61,16.622,24.411,56.54,83.03,399.8,1800,97.52,"Guelph_Abal_3"
"7",7,4.73253979635738,0.0597160476122185,191,0.545532769252832,0.906,34.865,0.5,7.2,23.29,24.97,22.47,398.94,327.45,16.708,24.435,57.09,83.02,399.8,1800,97.53,"Guelph_Abal_3"
"8",8,6.93532195611645,0.059199770543525,294,0.545532769252832,0.913,34.865,0.5,7.2,23.32,25.01,22.47,599.53,494.88,16.716,24.44,57.03,82.92,399.8,1800,97.53,"Guelph_Abal_3"
"9",9,8.86275634590564,0.0595439552559874,411,0.543811845690521,0.906,34.865,0.5,7.2,23.17,24.95,22.27,800.8,666.76,16.679,24.392,57.1,83.51,399.8,1800,97.52,"Guelph_Abal_3"
"10",10,10.1190305463932,0.0586834934748315,549,0.535207227878962,0.905,34.865,0.5,7.2,23.17,24.93,22.28,1000.18,846.61,16.786,24.381,57.48,83.48,399.8,1800,97.53,"Guelph_Abal_3"
"11",11,10.9450738563029,0.0576509393374444,704,0.526602610067403,0.906,34.865,0.5,7.2,23.16,24.92,22.28,1200.25,1033.27,16.891,24.368,57.85,83.46,399.8,1800,97.53,"Guelph_Abal_3"
"12",12,11.7194894593432,0.056274200487595,956,0.51455614513122,0.904,34.865,0.5,7.2,23.02,24.84,22.13,1499.64,1319.39,16.95,24.243,58.57,83.77,399.8,1800,97.54,"Guelph_Abal_3"
"13",13,12.3218127061523,0.0547253692815144,1410,0.509393374444285,0.922,34.865,0.5,7.2,23.16,24.92,22.28,2000.09,1807.72,17.001,24.23,58.24,83.01,399.8,1800,97.53,"Guelph_Abal_3"
