"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",16.3,0.211,225,2.59,1.28,6,0.5,2.25,24.2,25.16,24.04,399.1,364.6,14.521,19.603,47.17,63.52,300.2,1800,98.22,"Guelph_Fnig_2"
"2",11.4,0.189,168,2.38,1.31,6,0.5,2.25,23.86,25.15,23.45,299.47,275.44,14.697,19.366,48.91,64.03,300.2,1799,98.22,"Guelph_Fnig_2"
"3",7.08,0.199,121,2.46,1.28,6,0.5,2.25,23.83,25.07,23.45,200.55,185.49,14.637,19.451,48.76,64.45,300.2,1799,98.22,"Guelph_Fnig_2"
"4",2.18,0.214,75.2,2.54,1.24,6,0.5,2.25,23.82,25,23.45,99.37,94.54,14.743,19.722,49.22,65.39,300.2,1799,98.22,"Guelph_Fnig_2"
"5",-0.39,0.241,53.1,2.73,1.2,6,0.5,2.25,23.82,24.95,23.45,50.77,51.27,14.723,20.078,49.1,66.57,300.2,1800,98.22,"Guelph_Fnig_2"
"6",19.5,0.269,225,2.9,1.15,6,0.5,2.25,23.82,24.92,23.45,400.03,358.94,14.818,20.49,49.41,67.91,300.2,1799,98.22,"Guelph_Fnig_2"
"7",19,0.264,226,2.84,1.15,6,0.5,2.25,23.82,24.92,23.45,398.55,358.51,14.956,20.519,49.95,68.01,300.2,1799,98.22,"Guelph_Fnig_2"
"8",28.1,0.245,331,2.74,1.19,6,0.5,2.25,23.83,24.96,23.45,598.97,539.78,14.838,20.21,49.16,66.97,300.2,1799,98.22,"Guelph_Fnig_2"
"9",33.2,0.196,426,2.35,1.25,6,0.5,2.25,23.83,24.97,23.45,799.27,729.5,15.009,19.61,49.73,64.97,300.2,1800,98.22,"Guelph_Fnig_2"
"10",38.2,0.176,533,2.17,1.27,6,0.5,2.25,23.83,24.97,23.45,999.68,919.33,15.095,19.346,50.02,64.11,300.2,1799,98.22,"Guelph_Fnig_2"
"11",41.6,0.16,652,2.02,1.29,6,0.5,2.25,23.84,24.97,23.45,1199.77,1112.14,15.191,19.145,50.31,63.41,300.2,1799,98.22,"Guelph_Fnig_2"
"12",44.1,0.133,827,1.75,1.33,6,0.5,2.25,23.85,24.98,23.45,1500.53,1407.44,15.362,18.796,50.85,62.22,300.2,1800,98.23,"Guelph_Fnig_2"
"13",47.5,0.118,1190,1.58,1.35,6,0.5,2.25,23.85,24.98,23.45,1997.99,1897.15,15.522,18.621,51.53,61.61,300.2,1800,98.22,"Guelph_Fnig_2"
