"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,6.84570350297081,0.0853209330922242,243.5348659,2.49825856057866,2.823054172,3.871,0.5,2.25,37.33447647,37.89296341,38.67549133,399.8255615,389.744751,35.11993408,38.21761703,54.32336044,59.11484528,300.2620239,1800.007446,99.31821442,"Horizontes_Aadi_1"
"2",2,3.98821955928701,0.080722457762852,201.6162986,2.36646124153965,2.823233242,3.871,0.5,2.25,37.36145401,37.85860825,37.88728333,300.128479,294.0896301,35.15657806,38.09121704,54.30097961,58.83366776,300.26297,1799.234131,99.31959534,"Horizontes_Aadi_1"
"3",3,1.59564260707827,0.0637911506070783,147.9346574,1.96885369878584,2.95732995,3.871,0.5,2.25,35.44970703,38.12152481,33.90756989,199.7972717,197.2394104,35.25307083,37.69574738,60.46579742,64.65545654,300.2500305,1798.950317,99.31933594,"Horizontes_Aadi_1"
"4",4,-0.550590252647895,0.0738560924825626,107.7598239,2.14717283079308,2.794865372,3.871,0.5,2.25,35.85270309,37.76626968,35.72242737,100.1168594,100.5483475,35.38254929,38.04536057,59.35337067,63.82017136,300.2647705,1799.543091,99.3170166,"Horizontes_Aadi_1"
"5",5,-1.42957147765435,0.069673226039783,88.68694122,2.02443029139757,2.790345629,3.871,0.5,2.25,35.28787994,37.7267189,34.54974747,57.09320831,58.78273392,35.43841934,37.9491806,61.32751465,65.67248535,300.2745972,1800.765991,99.31629181,"Horizontes_Aadi_1"
"6",6,5.90722857814518,0.0725939984500129,243.2397231,2.13557967760269,2.826813062,3.871,0.5,2.25,36.57358551,37.81856537,36.79652786,399.6414185,390.9492493,35.26556396,37.91443253,56.85797119,61.128685,300.2563782,1801.416626,99.31013489,"Horizontes_Aadi_1"
"7",7,5.75954707827435,0.0700493939550504,242.3361527,2.09364166468613,2.8695637,3.871,0.5,2.25,36.75617981,37.90605545,36.94034576,400.0526733,391.570343,35.20319366,37.80035782,56.19227219,60.3379364,300.2557373,1800.413696,99.3085022,"Horizontes_Aadi_1"
"8",8,9.01400036063033,0.0651608865926117,338.9071899,1.99793858176182,2.939382846,3.871,0.5,2.25,36.55654144,38.03999329,36.54974747,599.9868774,586.8550415,35.10428238,37.58310699,56.65008163,60.65032578,300.2774658,1798.99707,99.30891418,"Horizontes_Aadi_1"
"9",9,11.3867120645828,0.057262050116249,429.5664369,1.81788801033325,3.03626931,3.871,0.5,2.25,36.26273346,38.20718384,35.57683182,799.9603882,783.4443359,34.96181488,37.21823883,57.3364563,61.03693008,300.2599792,1800.066528,99.30937958,"Horizontes_Aadi_1"
"10",10,14.076102123999,0.0565929873417721,538.4749216,1.73767560836993,2.93842201,3.871,0.5,2.25,36.20051193,37.84660721,36.26051331,1000.118713,979.7770996,34.73643112,36.89397049,57.15856934,60.70878601,300.2667542,1800.795044,99.30391693,"Horizontes_Aadi_1"
"11",11,15.9479076982692,0.0553291542237148,662.9061772,1.72664514389047,2.985396382,3.871,0.5,2.25,36.69940567,37.90475464,36.84763336,1200.085571,1176.905884,34.48750687,36.63194275,55.21702576,58.65042114,300.2655029,1800.565063,99.30123138,"Horizontes_Aadi_1"
"12",12,18.6613455282873,0.0528457928183932,841.2399078,1.6692758517179,3.019961109,3.871,0.5,2.25,36.71177292,37.91551208,36.86230469,1500.038574,1472.811157,34.25106049,36.32489395,54.79818344,58.11610413,300.2673035,1800.425171,99.29545593,"Horizontes_Aadi_1"
"13",13,21.1742414569879,0.0499024060966159,1199.751245,1.59048873262723,3.0456901,3.871,0.5,2.25,36.68902206,37.84880829,36.86164093,2000.083374,1968.749023,33.84899521,35.82597351,54.22052383,57.38731766,300.2667847,1801.03833,99.292099,"Horizontes_Aadi_1"
