"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",5.941698852,0.122038843,290.3593007,3.001780446,2.488811258,6,0.5,2.25,28.010149,31.23952103,27.33218956,399.9926147,385.7993164,15.11598682,20.99093246,39.53355789,54.89858627,300.1325073,1799.391357,99.30698395,"Horizontes_Pqui_4"
"2",4.084902072,0.09937282,211.8076678,2.420192324,2.443490624,6,0.5,2.25,26.89927483,30.7100296,25.75199699,299.7884521,290.2170715,15.33700657,20.07862473,42.80404282,56.03741837,300.0998535,1799.378662,99.30133057,"Horizontes_Pqui_4"
"3",2.174733744,0.094714858,150.0049018,2.250891859,2.380897258,6,0.5,2.25,26.62364197,30.37327003,25.85560226,200.0846863,194.8592987,15.4451437,19.85644531,43.81026077,56.32295227,300.0743103,1800.321167,99.30054474,"Horizontes_Pqui_4"
"4",1.021390148,0.089994546,112.2220353,2.153593324,2.392364351,6,0.5,2.25,27.24037552,30.43498802,26.79740906,138.5436401,135.9161987,15.6761322,19.89640808,42.88233566,54.42697525,300.0862427,1800.247925,99.29934692,"Horizontes_Pqui_4"
"5",1.075477628,0.090115087,110.9057544,2.174441401,2.411346528,6,0.5,2.25,27.32374954,30.63275909,26.79660225,138.3166962,135.5769806,15.94662285,20.20631218,43.40856171,55.00392532,300.092865,1798.859131,99.29690552,"Horizontes_Pqui_4"
"6",6.111221118,0.090350326,261.1936545,2.167243148,2.397112566,6,0.5,2.25,27.2176342,30.63334656,26.59657288,399.87677,385.9835205,16.10600471,20.35159492,44.11500168,55.74384689,300.0482178,1799.827515,99.29475403,"Horizontes_Pqui_4"
"7",6.227304276,0.089762689,258.4356415,2.152620694,2.395773542,6,0.5,2.25,27.21252632,30.64253235,26.5983696,400.1271667,386.0137939,16.1725502,20.38908005,44.3091774,55.86152649,300.0662842,1799.753662,99.29169464,"Horizontes_Pqui_4"
"8",8.949432583,0.085780357,388.2729749,2.055643667,2.389972004,6,0.5,2.25,27.09816933,30.62451363,26.44174957,600.0917969,579.8148804,16.37580872,20.40207863,45.16716385,56.27227402,300.0848389,1799.874756,99.28971863,"Horizontes_Pqui_4"
"9",11.00823959,0.082755384,529.7778206,1.984153292,2.387934134,6,0.5,2.25,27.09821701,30.62783623,26.44389915,800.2183228,775.1325073,16.54568291,20.43188286,45.63372421,56.35203934,300.0792542,1798.958252,99.28568268,"Horizontes_Pqui_4"
"10",11.99734812,0.079679161,691.0617088,1.913867018,2.389029614,6,0.5,2.25,26.87485886,30.63565636,25.98081589,999.918396,972.210022,16.69271469,20.44116592,46.64627457,57.12098694,300.0831909,1798.992065,99.28362274,"Horizontes_Pqui_4"
"11",13.18751327,0.076170824,845.4794075,1.806278764,2.355459521,6,0.5,2.25,26.73905945,30.48327637,25.97359657,1200.451538,1169.859253,16.85601997,20.39387131,47.47845078,57.44353485,300.0875244,1799.469604,99.27964783,"Horizontes_Pqui_4"
"12",14.51487931,0.072399663,1086.319638,1.712191024,2.345398613,6,0.5,2.25,26.70958519,30.42980957,25.97299004,1499.578735,1465.539551,17.00714874,20.3609066,47.9860611,57.4487648,300.0805664,1800.055542,99.27706909,"Horizontes_Pqui_4"
"13",16.22494738,0.067297273,1498.295018,1.595908325,2.346858649,6,0.5,2.25,26.68656731,30.41485596,25.9749527,1999.936768,1961.237305,17.18191719,20.30807877,48.54603577,57.3787384,300.0801697,1799.679199,99.27938843,"Horizontes_Pqui_4"
