"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",7.78,0.0761,205,1.46,1.91,6,0.5,2.25,23.55,24.97,22.61,399.62,382.91,10.009,12.896,33.76,43.49,299.6,1800,98.34,"KBS_Qrub_3"
"2",7.01,0.105,167,1.87,1.79,6,0.5,2.25,23.09,24.83,22.15,300.01,284.9,10.141,13.836,35.37,47.98,299.6,1800,98.35,"KBS_Qrub_3"
"3",4.52,0.118,121,2.06,1.76,6,0.5,2.25,23.58,24.91,22.93,199.44,189.6,10.172,14.24,34.47,47.95,299.6,1800,98.35,"KBS_Qrub_3"
"4",1.55,0.131,74.2,2.27,1.76,6,0.5,2.25,24,25.13,23.55,100.01,96.47,10.189,14.676,33.69,48.19,299.6,1801,98.35,"KBS_Qrub_3"
"5",-0.155,0.148,50.2,2.46,1.7,6,0.5,2.25,23.62,25.04,22.74,49.81,49.87,10.272,15.124,34.84,50.81,299.6,1801,98.36,"KBS_Qrub_3"
"6",13.9,0.2,242,2.99,1.57,6,0.5,2.25,23.85,24.76,23.86,400.12,370.07,10.021,15.921,33.24,52.8,299.6,1800,98.37,"KBS_Qrub_3"
"7",13.3,0.189,241,2.96,1.63,6,0.5,2.25,24.5,25.13,24.34,398.92,370.1,10.222,16.051,32.96,51.17,299.6,1800,98.37,"KBS_Qrub_3"
"8",19.1,0.178,363,2.78,1.62,6,0.5,2.25,23.53,24.84,21.97,599.83,558.48,10.064,15.542,34.25,52.48,299.6,1800,98.37,"KBS_Qrub_3"
"9",19.6,0.109,441,1.89,1.75,6,0.5,2.25,23.28,24.52,22.73,799.86,757.76,9.871,13.609,33.88,46.72,299.6,1800,98.37,"KBS_Qrub_3"
"10",19.6,0.0728,492,1.42,1.94,6,0.5,2.25,23.65,25.01,22.92,999.87,957.88,9.834,12.645,32.98,42.42,299.6,1800,98.37,"KBS_Qrub_3"
"11",17.8,0.0508,563,1.02,1.98,6,0.5,2.25,23.22,24.78,22.48,1200.58,1162.54,9.8,11.82,33.75,40.71,299.6,1800,98.37,"KBS_Qrub_3"
"12",17.1,0.0368,674,0.758,2.02,6,0.5,2.25,22.97,24.69,22.19,1501.02,1464.51,9.736,11.238,34.03,39.28,299.6,1801,98.36,"KBS_Qrub_3"
"13",17.6,0.0264,838,0.57,2.1,6,0.5,2.25,24.01,24.87,24.35,2000.97,1963.46,9.574,10.704,31.46,35.17,299.6,1801,98.36,"KBS_Qrub_3"
